"행정구역(시군구)별","연령별","항목","단위","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"전국","계","총전입[명]","명","506100","622411","588958","455474","497285","473480","482143","538401","449718","4046536","4210164","3687938","4860418","5297969","9011440","6773250","7397623","8410276","7324380","8258573","8194516","8616474","9795811","9043238","8679097","8660428","9308750","9969020","9316219","9459209","8980841","9031576","8807058","8791714","9073069","8854973","8819909","8156318","9435347","9009441","9289949","9584461","9516605","8567795","8795397","9342074","9070102","8808256","8487275","8226594","8127195","7506691","7411784","7629098","7755286","7378430","7154226","7297099","7104398","7735491","7213422","6152155",
"전국","계","총전출[명]","명","506100","622411","588958","455474","497285","473480","482143","538401","449718","4046536","4210164","3687938","4860418","5297969","9011440","6773250","7397623","8410276","7324380","8258573","8194516","8616474","9795811","9043238","8679097","8660428","9308750","9969020","9316219","9459209","8980841","9031576","8807058","8791714","9073069","8854973","8819909","8156318","9435347","9009441","9289949","9584461","9516605","8567795","8795397","9342074","9070102","8808256","8487275","8226594","8127195","7506691","7411784","7629098","7755286","7378430","7154226","7297099","7104398","7735491","7213422","6152155",
"전국","계","순이동[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","계","시도내이동-시군구내[명]","명","164141","187696","195928","161731","180983","173203","175329","192044","165606","","2878091","2619367","3435573","3709343","6143486","4620297","5234058","5867479","4974831","5652936","5401067","5806253","6584773","6033834","5753800","5639139","6065385","6616530","6126613","6228081","6022999","6171816","5943391","6052025","3385801","3250389","3175759","2917869","3445888","3299280","3437686","3622611","3536987","3127996","3279032","3547116","3390521","3321911","3183026","3104796","3143729","2827998","2864028","2957867","3014020","2840295","2701400","2776681","2659826","2926406","2649108","2173548",
"전국","계","시도내이동-시군구간 전입[명]","명","145923","183174","171026","136415","148019","140977","144573","161459","136957","","","","","","","","","","","","","","","","","","","","","","","","","","2822329","2768495","2805708","2559820","2964675","2864330","2920246","2967035","2971837","2646060","2701086","2848289","2757578","2694194","2575277","2459505","2378953","2165953","2124327","2163435","2189842","2084793","2041896","2091234","2059624","2274971","2117080","1805002",
"전국","계","시도내이동-시군구간 전출[명]","명","145923","183174","171026","136415","148019","140977","144573","161459","136957","","","","","","","","","","","","","","","","","","","","","","","","","","2822329","2768495","2805708","2559820","2964675","2864330","2920246","2967035","2971837","2646060","2701086","2848289","2757578","2694194","2575277","2459505","2378953","2165953","2124327","2163435","2189842","2084793","2041896","2091234","2059624","2274971","2117080","1805002",
"전국","계","시도간전입[명]","명","196036","251541","222004","157328","168283","159300","162241","184898","147155","","1332073","1068571","1424845","1588626","2867954","2152953","2163565","2542797","2349549","2605637","2793449","2810221","3211038","3009404","2925297","3021289","3243365","3352490","3189606","3231128","2957842","2859760","2863667","2739689","2864939","2836089","2838442","2678629","3024784","2845831","2932017","2994815","3007781","2793739","2815279","2946669","2922003","2792151","2728972","2662293","2604513","2512740","2423429","2507796","2551424","2453342","2410930","2429184","2384948","2534114","2447234","2173605",
"전국","계","시도간전출[명]","명","196036","251541","222004","157328","168283","159300","162241","184898","147155","","1332073","1068571","1424845","1588626","2867954","2152953","2163565","2542797","2349549","2605637","2793449","2810221","3211038","3009404","2925297","3021289","3243365","3352490","3189606","3231128","2957842","2859760","2863667","2739689","2864939","2836089","2838442","2678629","3024784","2845831","2932017","2994815","3007781","2793739","2815279","2946669","2922003","2792151","2728972","2662293","2604513","2512740","2423429","2507796","2551424","2453342","2410930","2429184","2384948","2534114","2447234","2173605",
"전국","0 - 4세","총전입[명]","명","17670","24015","21462","16910","17598","17762","19223","20896","17307","","","","","","","","","","","","","","","","","","","","","","","","","","912796","873617","836015","742546","847469","770043","821272","891398","738973","612635","603115","598523","554494","543050","527469","500343","505325","457889","459745","461415","451344","417530","387118","379926","337461","337233","273394","217118",
"전국","0 - 4세","총전출[명]","명","17670","24015","21462","16910","17598","17762","19223","20896","17307","","","","","","","","","","","","","","","","","","","","","","","","","","912796","873617","836015","742546","847469","770043","821272","891398","738973","612635","603115","598523","554494","543050","527469","500343","505325","457889","459745","461415","451344","417530","387118","379926","337461","337233","273394","217118",
"전국","0 - 4세","순이동[명]","명","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","0 - 4세","시도내이동-시군구내[명]","명","7043","8382","8574","7125","7614","7574","8335","9128","7327","","","","","","","","","","","","","","","","","","","","","","","","","","346726","325770","305130","271575","313648","281003","303299","341740","274900","228015","230577","233646","214477","211269","208292","196711","204346","183453","188472","191971","189085","172201","157243","158415","140880","142280","113198","86841",
"전국","0 - 4세","시도내이동-시군구간 전입[명]","명","5329","7631","6547","5319","5499","5566","6215","6600","5716","","","","","","","","","","","","","","","","","","","","","","","","","","285168","274727","268104","233879","271198","249085","260856","278415","235784","193668","190500","187673","172841","168933","163487","151857","149795","132567","132414","132751","128238","119887","111929","110126","98904","101201","82537","67010",
"전국","0 - 4세","시도내이동-시군구간 전출[명]","명","5329","7631","6547","5319","5499","5566","6215","6600","5716","","","","","","","","","","","","","","","","","","","","","","","","","","285168","274727","268104","233879","271198","249085","260856","278415","235784","193668","190500","187673","172841","168933","163487","151857","149795","132567","132414","132751","128238","119887","111929","110126","98904","101201","82537","67010",
"전국","0 - 4세","시도간전입[명]","명","5298","8002","6341","4466","4485","4622","4673","5168","4264","","","","","","","","","","","","","","","","","","","","","","","","","","280902","273120","262781","237092","262623","239955","257117","271243","228289","190952","182038","177204","167176","162848","155690","151775","151184","141869","138859","136693","134021","125442","117946","111385","97677","93752","77659","63267",
"전국","0 - 4세","시도간전출[명]","명","5298","8002","6341","4466","4485","4622","4673","5168","4264","","","","","","","","","","","","","","","","","","","","","","","","","","280902","273120","262781","237092","262623","239955","257117","271243","228289","190952","182038","177204","167176","162848","155690","151775","151184","141869","138859","136693","134021","125442","117946","111385","97677","93752","77659","63267",
"전국","5 - 9세","총전입[명]","명","21742","32081","17717","13614","14527","14647","16992","21385","15693","","","","","","","","","","","","","","","","","","","","","","","","","","675817","668952","692677","671316","762841","742124","737939","713070","729664","626738","613104","619971","560413","522592","474368","433848","402505","359933","359560","357208","348704","325398","314134","318132","296505","322547","283262","227879",
"전국","5 - 9세","총전출[명]","명","21742","32081","17717","13614","14527","14647","16992","21385","15693","","","","","","","","","","","","","","","","","","","","","","","","","","675817","668952","692677","671316","762841","742124","737939","713070","729664","626738","613104","619971","560413","522592","474368","433848","402505","359933","359560","357208","348704","325398","314134","318132","296505","322547","283262","227879",
"전국","5 - 9세","순이동[명]","명","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","5 - 9세","시도내이동-시군구내[명]","명","8924","11793","9355","6842","7379","7402","8027","9737","8031","","","","","","","","","","","","","","","","","","","","","","","","","","275640","268528","272664","266167","309333","300566","304975","309725","304742","266667","271711","283442","257760","242216","220683","203956","192342","171130","175773","175314","171058","158929","152294","155198","143368","154160","134418","106025",
"전국","5 - 9세","시도내이동-시군구간 전입[명]","명","5935","9435","4435","3767","3881","3993","4855","6122","4313","","","","","","","","","","","","","","","","","","","","","","","","","","197277","196407","208239","195678","222935","218324","213979","201885","210877","179083","173273","173928","155317","145666","131519","117062","105927","91897","91556","90444","87137","81977","79675","82035","78065","87280","76656","61670",
"전국","5 - 9세","시도내이동-시군구간 전출[명]","명","5935","9435","4435","3767","3881","3993","4855","6122","4313","","","","","","","","","","","","","","","","","","","","","","","","","","197277","196407","208239","195678","222935","218324","213979","201885","210877","179083","173273","173928","155317","145666","131519","117062","105927","91897","91556","90444","87137","81977","79675","82035","78065","87280","76656","61670",
"전국","5 - 9세","시도간전입[명]","명","6883","10853","3927","3005","3267","3252","4110","5526","3349","","","","","","","","","","","","","","","","","","","","","","","","","","202900","204017","211774","209471","230573","223234","218985","201460","214045","180988","168120","162601","147336","134710","122166","112830","104236","96906","92231","91450","90509","84492","82165","80899","75072","81107","72188","60184",
"전국","5 - 9세","시도간전출[명]","명","6883","10853","3927","3005","3267","3252","4110","5526","3349","","","","","","","","","","","","","","","","","","","","","","","","","","202900","204017","211774","209471","230573","223234","218985","201460","214045","180988","168120","162601","147336","134710","122166","112830","104236","96906","92231","91450","90509","84492","82165","80899","75072","81107","72188","60184",
"전국","10 - 14세","총전입[명]","명","20773","25532","15942","11761","12960","12450","15278","18847","13882","","","","","","","","","","","","","","","","","","","","","","","","","","580114","540785","513575","462943","512459","512280","539650","559077","582035","522482","523625","557515","543745","528646","490984","458085","437008","376610","343609","327573","307697","263887","245501","247954","237099","249077","226828","191329",
"전국","10 - 14세","총전출[명]","명","20773","25532","15942","11761","12960","12450","15278","18847","13882","","","","","","","","","","","","","","","","","","","","","","","","","","580114","540785","513575","462943","512459","512280","539650","559077","582035","522482","523625","557515","543745","528646","490984","458085","437008","376610","343609","327573","307697","263887","245501","247954","237099","249077","226828","191329",
"전국","10 - 14세","순이동[명]","명","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","10 - 14세","시도내이동-시군구내[명]","명","8197","9829","8357","6192","6935","6625","7480","8926","7161","","","","","","","","","","","","","","","","","","","","","","","","","","273556","248969","232253","206458","234769","232302","247600","264138","266217","241351","251840","273427","262438","257258","238205","223872","217581","184542","172562","165008","155316","133265","122616","124353","117516","125013","113598","92254",
"전국","10 - 14세","시도내이동-시군구간 전입[명]","명","5718","7402","3988","3110","3293","3270","4263","5155","3873","","","","","","","","","","","","","","","","","","","","","","","","","","168154","159628","154051","136594","148794","151529","159375","167196","172221","153061","149741","157980","157459","151946","140853","127798","118276","101402","90871","85268","78465","67944","63865","65044","63773","66119","59653","51146",
"전국","10 - 14세","시도내이동-시군구간 전출[명]","명","5718","7402","3988","3110","3293","3270","4263","5155","3873","","","","","","","","","","","","","","","","","","","","","","","","","","168154","159628","154051","136594","148794","151529","159375","167196","172221","153061","149741","157980","157459","151946","140853","127798","118276","101402","90871","85268","78465","67944","63865","65044","63773","66119","59653","51146",
"전국","10 - 14세","시도간전입[명]","명","6858","8301","3597","2459","2732","2555","3535","4766","2848","","","","","","","","","","","","","","","","","","","","","","","","","","138404","132188","127271","119891","128896","128449","132675","127743","143597","128070","122044","126108","123848","119442","111926","106415","101151","90666","80176","77297","73916","62678","59020","58557","55810","57945","53577","47929",
"전국","10 - 14세","시도간전출[명]","명","6858","8301","3597","2459","2732","2555","3535","4766","2848","","","","","","","","","","","","","","","","","","","","","","","","","","138404","132188","127271","119891","128896","128449","132675","127743","143597","128070","122044","126108","123848","119442","111926","106415","101151","90666","80176","77297","73916","62678","59020","58557","55810","57945","53577","47929",
"전국","15 - 19세","총전입[명]","명","22716","34416","30906","17273","18132","17405","18596","22354","15778","","","","","","","","","","","","","","","","","","","","","","","","","","519914","524802","524344","494068","545843","525891","552188","562382","505698","447308","440970","468347","476548","481190","480721","476305","488089","443122","429314","426241","423725","385388","360288","343080","330065","324253","286349","254246",
"전국","15 - 19세","총전출[명]","명","22716","34416","30906","17273","18132","17405","18596","22354","15778","","","","","","","","","","","","","","","","","","","","","","","","","","519914","524802","524344","494068","545843","525891","552188","562382","505698","447308","440970","468347","476548","481190","480721","476305","488089","443122","429314","426241","423725","385388","360288","343080","330065","324253","286349","254246",
"전국","15 - 19세","순이동[명]","명","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","15 - 19세","시도내이동-시군구내[명]","명","6914","8555","8492","6476","7292","6679","7167","7728","6279","","","","","","","","","","","","","","","","","","","","","","","","","","230121","229511","226837","208248","240911","228821","233879","236872","218238","187803","195222","214081","212506","216482","212652","210977","219204","190853","191291","189563","189185","168370","151026","142442","128876","134858","112383","88287",
"전국","15 - 19세","시도내이동-시군구간 전입[명]","명","6072","8258","7766","4598","4824","4493","5026","5810","4111","","","","","","","","","","","","","","","","","","","","","","","","","","158219","162007","166384","155803","168640","166178","171063","167332","154704","135686","131130","135662","140153","141325","139648","135368","133911","120606","114244","111038","108692","98605","93395","88412","87160","84237","74574","65427",
