"성별","행정구역별","연령별","항목","단위","2013. 1/2","2013. 2/2","2014. 1/2","2014. 2/2","2015. 1/2","2015. 2/2","2016. 1/2","2016. 2/2","2017. 1/2","2017. 2/2","2018. 1/2","2018. 2/2","2019. 1/2","2019. 2/2","2020. 1/2","2020. 2/2","2021. 1/2","2021. 2/2","2022. 1/2","2022. 2/2",
"전체","전국","계","합계","","25186.58626","25657.6783","25834.6037","26099.03937","25991.48465","26346.01358","26156.19034","26568.36195","26573.70826","26867.25665","26711.29366","26924.74284","26870.72813","27346.83918","26397.32881","26916.90112","27213.59232","27740.74699","28078.30968","28417.86366",
"전체","전국","계","농림어업","","1585.58672","1742.63917","1556.08159","1602.28053","1421.76187","1473.08248","1355.41571","1420.01402","1339.50827","1435.27321","1393.56601","1492.53897","1406.33668","1551.32599","1479.33688","1573.95216","1476.33225","1593.99323","1544.66108","1640.6064",
"전체","전국","계","광업","","17.51169","14.84445","14.07833","8.68305","13.35277","15.39945","18.45547","20.56196","21.26573","23.0181","22.30169","14.8944","15.10557","14.85899","14.79954","10.5006","12.76848","10.66067","13.10791","6.1252",
"전체","전국","계","제조업","","4255.06091","4279.32812","4360.50622","4419.64827","4507.11464","4594.70838","4528.87763","4474.19628","4471.39826","4499.38964","4417.74344","4454.14493","4365.90571","4381.6338","4322.13703","4283.33287","4386.11068","4323.55863","4517.98609","4524.94367",
"전체","전국","계","전기,가스,증기 및 수도사업","","89.55611","88.43435","83.69547","86.08151","93.61092","96.97573","89.9581","87.46267","86.15427","86.82843","91.67292","84.6368","85.23512","88.89853","83.41409","93.8141","64.53602","76.66299","76.0567","84.0388",
"전체","전국","계","하수·폐기물처리,원료재생 및 환경복원업","","71.64623","88.15144","90.43666","91.61779","92.677","90.27608","100.70159","98.72625","101.29355","94.47512","104.6574","117.58002","109.8308","120.33325","130.67822","137.10086","168.19677","169.63168","157.42525","147.09093",
"전체","전국","계","건설업","","1801.80229","1833.65362","1808.70157","1884.57639","1869.24458","1854.15163","1823.0201","1907.81005","1988.77232","2029.58848","2023.13676","2089.96481","1992.92681","2038.68573","1934.31289","2075.33841","2075.10688","2127.34862","2123.22422","2139.35217",
"전체","전국","계","도소매업","","3613.2891","3723.47261","3805.57105","3856.41307","3811.02283","3753.74198","3719.21034","3754.3622","3795.36939","3798.89904","3734.49414","3699.35224","3658.28907","3632.44691","3535.59084","3444.58238","3353.26078","3331.30127","3341.99797","3271.52234",
"전체","전국","계","운수업","","1431.81796","1424.38363","1432.59913","1417.52959","1435.1527","1428.58646","1439.03514","1414.32607","1409.25218","1406.62553","1409.10878","1412.00622","1423.94572","1440.39492","1457.43022","1468.05635","1564.02596","1630.63332","1650.64051","1635.31776",
"전체","전국","계","숙박 및 음식점업","","1947.19205","2012.81688","2075.98581","2166.25413","2125.95029","2209.70704","2245.88624","2314.17486","2274.24139","2285.96117","2246.70347","2189.23075","2288.39473","2301.31752","2076.90089","2074.64412","2138.30146","2096.14769","2111.15552","2248.92732",
"전체","전국","계","출판,영상,방송통신 및 정보서비스업","","703.53991","682.51923","737.76437","706.51384","772.97572","781.41039","754.54572","790.2978","784.77766","781.87354","814.75368","863.11795","858.82717","859.4497","851.85971","826.06507","892.82621","928.93175","981.27233","988.40499",
"전체","전국","계","금융 및 보험업","","876.41892","875.58741","867.70143","830.67201","793.61954","797.1298","785.44407","813.85951","778.65772","804.98046","839.37827","853.65169","793.48654","800.01744","782.85186","776.99528","809.87548","791.80224","756.3625","777.14242",
"전체","전국","계","부동산업 및 임대업","","427.63059","447.97415","446.36394","463.99951","452.252","467.89955","453.18372","497.55104","547.05383","533.7667","517.63637","538.34688","561.83753","576.81006","525.21953","504.34708","526.56717","543.64672","545.44917","550.78552",
"전체","전국","계","전문,과학 및 기술서비스업","","1033.12048","1023.88777","1035.07442","1039.73207","1017.62037","1060.95184","1091.3654","1107.19195","1099.49737","1090.12327","1076.66111","1095.83019","1125.37179","1181.87576","1143.89998","1173.05267","1208.07542","1236.98508","1257.56962","1293.14554",
"전체","전국","계","사업시설관리 및 사업지원 서비스업","","1196.81166","1153.91153","1173.80362","1171.10441","1235.95535","1277.21778","1294.87592","1307.50245","1252.15752","1272.35661","1251.75856","1176.76863","1187.54922","1230.39022","1207.02131","1282.84814","1355.78395","1420.62956","1459.34952","1420.5514",
"전체","전국","계","공공행정,국방 및 사회보장행정","","1008.05376","1012.86626","1038.33366","963.79883","968.84239","973.21285","1025.02255","1030.10219","1045.79012","1115.02257","1127.14997","1146.01954","1116.97271","1096.69511","1077.06376","1220.1144","1157.13239","1187.3378","1247.69833","1244.87118",
"전체","전국","계","교육서비스업","","1744.78732","1790.32035","1837.16862","1851.89775","1815.00257","1888.44157","1855.42162","1880.97829","1940.37117","1884.6108","1834.07684","1869.46431","1889.17246","1875.32212","1759.20053","1772.02801","1824.72488","1879.71048","1899.92882","1914.0142",
"전체","전국","계","보건업 및 사회복지서비스업","","1546.19231","1624.10526","1692.5504","1774.01998","1769.9888","1832.87565","1851.79771","1922.8514","1919.71448","1989.96803","2063.23225","2148.54374","2190.31838","2299.88121","2267.44201","2405.28488","2491.65377","2705.19772","2721.20386","2825.84765",
"전체","전국","계","예술,스포츠 및 여가관련 서비스업","","395.1374","396.04243","381.48136","412.84938","449.89141","429.13237","389.19657","423.75886","418.49124","432.59051","438.67383","432.27705","472.14863","527.96694","482.81468","491.44814","472.05022","465.89491","481.08849","489.01952",
"전체","전국","계","협회 및 단체,수리 기타 개인서비스업","","1256.75934","1266.55652","1259.62342","1231.3689","1240.03761","1229.2719","1245.2198","1223.73349","1218.3693","1230.51965","1248.77861","1198.25632","1259.65881","1212.83891","1160.43754","1182.26125","1130.4521","1124.94024","1105.97716","1118.06766",
"전체","전국","계","가구내 고용활동 및 달리 분류되지 않는 자가소비생산활동","","177.03413","167.59413","123.89468","103.4679","89.35611","71.20796","70.4356","64.81814","70.63894","59.10555","51.05736","40.99881","58.76495","100.61798","88.84394","105.12952","91.09077","82.69459","73.07859","80.27171",
"전체","전국","계","국제 및 외국기관","","7.6374","8.58901","13.18797","16.53049","16.05517","20.63269","19.12135","14.08248","10.93356","12.28024","4.75219","7.1186","10.64975","15.07812","16.07339","16.00483","14.7207","13.03781","13.07604","17.8173",
"전체","전국","15~19세","합계","","178.3864","207.89184","221.27575","213.9927","228.70681","220.45296","228.13222","214.65139","263.71126","201.34261","188.23786","180.84896","215.40358","183.78062","128.86718","143.70917","176.30345","155.95452","171.12783","149.08796",
"전체","전국","15~19세","농림어업","",".78956","1.44896",".90176",".67618","1.24106","1.43446",".95307",".33873",".67065",".75428","1.40774",".42434",".72566",".48681",".94512",".60199",".53172",".26208",".50781","2.602",
"전체","전국","15~19세","광업","",".27322",".22054","0","0","0","0",".03847",".05547","0","0","0","0","0","0","0","0","0","0","0","0",
"전체","전국","15~19세","제조업","","20.47586","26.8513","29.0255","21.84236","22.02246","24.23736","29.17465","27.61535","30.11766","21.01556","20.66084","17.84244","23.06014","15.58299","15.96377","15.38314","22.93285","18.94921","17.92546","13.19454",
"전체","전국","15~19세","전기,가스,증기 및 수도사업","",".5912",".53731","1.55159","1.08205",".76625",".39157",".09541",".74446",".22583",".14875",".02309",".03463",".22947",".43683",".4141",".50053",".49691",".29133","0","0",
"전체","전국","15~19세","하수·폐기물처리,원료재생 및 환경복원업","",".04228",".30362","0",".08966",".09575",".18624",".14794",".1433",".08205","0","0","0",".05103",".05462","0","0",".06646","0",".01607","0",
"전체","전국","15~19세","건설업","","2.36711","2.3148","2.88674","2.52388","4.14213","2.53393","2.47174","2.91343","3.2362","3.00731","2.33575","2.31442","2.70497","2.13921","2.31766","2.43544","1.90094","2.05587","2.05298","2.78521",
"전체","전국","15~19세","도소매업","","36.54762","50.09416","44.16231","41.06737","43.9724","47.51769","42.47946","36.58685","50.08813","45.08549","39.3298","33.53453","33.72415","35.03504","23.31016","29.64048","31.0277","28.73576","27.33985","19.9018",
"전체","전국","15~19세","운수업","","2.96732","2.43468","4.18395","2.15545","4.55597","4.02071","3.39694","5.34132","4.08923","3.66877","3.82987","5.09945","5.21038","2.83412","3.18693","5.46407","2.23497","6.25909","4.61375","3.52999",
